Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
3/20/17,2017,3,20,Monday,12,2017-12,237.03,237.36,236.32,236.77,52537000,211.82,-0.001096935,211.8871429,206.974
3/21/17,2017,3,21,Tuesday,12,2017-12,237.47,237.61,233.58,233.73,131809300,209.1,-0.012839167,211.5671429,207.1084
3/22/17,2017,3,22,Wednesday,12,2017-12,233.77,234.61,233.05,234.28,97569200,209.59,0.002352914,211.3778571,207.2658
3/23/17,2017,3,23,Thursday,12,2017-12,234.28,235.34,233.6,234.03,100410300,209.37,-0.001067075,211.1635714,207.4188
3/24/17,2017,3,24,Friday,12,2017-12,234.38,235.04,232.96,233.86,112504900,209.21,-0.000726404,210.9828571,207.5572
3/27/17,2017,3,27,Monday,13,2017-13,231.93,233.92,231.61,233.62,87454500,209,-0.001026398,210.8328571,207.7016
3/28/17,2017,3,28,Tuesday,13,2017-13,233.27,235.81,233.14,235.32,93483900,210.52,0.007276932,210.8192857,207.8672
3/29/17,2017,3,29,Wednesday,13,2017-13,234.99,235.81,234.73,235.54,61950400,210.72,0.000934864,210.8007143,208.051
3/30/17,2017,3,30,Thursday,13,2017-13,235.47,236.52,235.27,236.29,56737900,211.39,0.003184245,210.7771429,208.2394
3/31/17,2017,3,31,Friday,13,2017-13,235.9,236.51,235.68,235.74,73733100,210.9,-0.002327855,210.7107143,208.4328
4/3/17,2017,4,3,Monday,14,2017-14,235.8,236.03,233.91,235.33,85546500,210.53,-0.00173913,210.6757143,208.604
4/4/17,2017,4,4,Tuesday,14,2017-14,235,235.58,234.56,235.48,56466200,210.66,0.000637157,210.52,208.7884
4/5/17,2017,4,5,Wednesday,14,2017-14,236.26,237.39,234.54,234.78,108800600,210.04,-0.002972325,210.35,208.9346
4/6/17,2017,4,6,Thursday,14,2017-14,234.94,236.04,234.43,235.44,69135800,210.63,0.002810826,210.2485714,209.0574
4/7/17,2017,4,7,Friday,14,2017-14,235.15,236,234.64,235.2,74412300,210.41,-0.001019076,210.1478571,209.1802
4/10/17,2017,4,10,Monday,15,2017-15,235.36,236.26,234.73,235.34,67615300,210.54,0.000595085,210.2507143,209.312
4/11/17,2017,4,11,Tuesday,15,2017-15,234.9,235.18,233.34,235.06,88045300,210.29,-0.00118968,210.3007143,209.464
4/12/17,2017,4,12,Wednesday,15,2017-15,234.74,234.96,233.77,234.03,81864400,209.37,-0.004381773,210.3007143,209.598
4/13/17,2017,4,13,Thursday,15,2017-15,233.64,234.49,232.51,232.51,92880400,208.01,-0.006494925,210.215,209.7032
4/17/17,2017,4,17,Monday,16,2017-16,233.11,234.57,232.88,234.57,68405400,209.85,0.008859731,210.2757143,209.8426
4/18/17,2017,4,18,Tuesday,16,2017-16,233.72,234.49,233.08,233.87,83225800,209.22,-0.002983928,210.1828571,209.9414
4/19/17,2017,4,19,Wednesday,16,2017-16,234.52,234.95,233.18,233.44,68699900,208.84,-0.001838657,210.0485714,210.0398
4/20/17,2017,4,20,Thursday,16,2017-16,234.15,235.85,233.78,235.34,92572200,210.54,0.008138864,209.9878571,210.172
4/21/17,2017,4,21,Friday,16,2017-16,235.25,235.31,234.13,234.59,110389800,209.87,-0.003186662,209.9142857,210.2856
4/24/17,2017,4,24,Monday,17,2017-17,237.18,237.41,234.56,237.17,119209900,212.18,0.010997863,210.0321429,210.4212
4/25/17,2017,4,25,Tuesday,17,2017-17,237.91,238.95,237.81,238.55,76698300,213.41,0.005818649,210.2285714,210.5652
4/26/17,2017,4,26,Wednesday,17,2017-17,238.51,239.53,238.35,238.4,84702500,213.28,-0.000628913,210.46,210.684
4/27/17,2017,4,27,Thursday,17,2017-17,238.77,238.95,237.98,238.6,57410300,213.45,0.000838936,210.6614286,210.7896
4/28/17,2017,4,28,Friday,17,2017-17,238.9,238.93,237.93,238.08,63532800,212.99,-0.002179076,210.8457143,210.8644
5/1/17,2017,5,1,Monday,18,2017-18,238.68,239.17,238.2,238.68,66882500,213.53,0.00251976,211.0592857,210.9536
5/2/17,2017,5,2,Tuesday,18,2017-18,238.84,238.98,238.3,238.77,57375700,213.61,0.000377243,211.2964286,211.0378
5/3/17,2017,5,3,Wednesday,18,2017-18,238.77,238.88,237.7,238.48,73137700,213.35,-0.001214522,211.5807143,211.0918
5/4/17,2017,5,4,Thursday,18,2017-18,238.83,238.92,237.78,238.76,61462700,213.6,0.001174016,211.98,211.1546
5/5/17,2017,5,5,Friday,18,2017-18,239.19,239.72,238.68,239.7,62001300,214.44,0.003937111,212.3078571,211.2312
5/8/17,2017,5,8,Monday,19,2017-19,239.75,239.92,239.17,239.66,48385700,214.4,-0.000167076,212.6778571,211.3018
5/9/17,2017,5,9,Tuesday,19,2017-19,239.96,240.19,239.04,239.44,51363200,214.21,-0.000917793,213.0614286,211.362
5/10/17,2017,5,10,Wednesday,19,2017-19,239.39,239.87,239.15,239.87,54293800,214.59,0.001795885,213.3507143,211.4412
5/11/17,2017,5,11,Thursday,19,2017-19,239.35,239.57,238.13,239.38,62358300,214.15,-0.002042747,213.6564286,211.4526
5/12/17,2017,5,12,Friday,19,2017-19,239.09,239.43,238.67,238.98,53912700,213.79,-0.001671074,213.7714286,211.4836
5/15/17,2017,5,15,Monday,20,2017-20,239.47,240.44,239.45,240.3,61918900,214.98,0.005523424,213.8835714,211.5358
5/16/17,2017,5,16,Tuesday,20,2017-20,240.64,240.67,239.63,240.08,51241800,214.78,-0.000915703,213.9907143,211.5966
